variable,description
[nom_representant_societe_2],nom representant societe 2
[nom_vendeur],nom vendeur
[nombre_exemplaires],nombre exemplaires
[numero_avenant],numero avenant
[numero_rcs],numero rcs
[numero_rcs_societe_1],numero rcs societe 1
[numero_rcs_societe_2],numero rcs societe 2
[numero_rcs_societe_3],numero rcs societe 3
[prenom_bailleur],prenom bailleur
[prenom_locataire],prenom locataire
[prenom_notaire],prenom notaire
[prenom_personne_1],prenom personne 1
[prenom_personne_2],prenom personne 2
[prenom_representant_societe_1],prenom representant societe 1
[prenom_representant_societe_2],prenom representant societe 2
[prenom_vendeur],prenom vendeur
[profession_associes],profession associes
[profession_bailleur],profession bailleur
[profession_locataire],profession locataire
[profession_personne_2],profession personne 2
[profession_societe_1],profession societe 1
[regime_matrimonial_personne_2],regime matrimonial personne 2
[seuil_depense_commune],seuil depense commune
[signature_bailleur],signature bailleur
[situation_maritale_personne_1],situation maritale personne 1
[situation_maritale_personne_2],situation maritale personne 2
[situation_maritale_vendeur],situation maritale vendeur
[telephone_praticien_1],telephone praticien 1
[telephone_praticien_2],telephone praticien 2
[titre_representant_societe_1],titre representant societe 1
[titre_representant_societe_2],titre representant societe 2
[valeur_nominale_part],valeur nominale part
[ville_naissance_bailleur],ville naissance bailleur
[ville_naissance_locataire],ville naissance locataire
[ville_naissance_personne_1],ville naissance personne 1
[ville_naissance_personne_2],ville naissance personne 2
[ville_notaire],ville notaire
[ville_rcs_societe_1],ville rcs societe 1
[ville_rcs_societe_2],ville rcs societe 2
[ville_rcs_societe_3],ville rcs societe 3
[ville_tribunal],ville tribunal
[w],w
